,cand_id,cand_name,cand_pty_affliation,result
364,H0TN051502014,"RIES, BOB                                                                                                                                                                                               ",REP,0
365,H0TN051502012,"RIES, BOB                                                                                                                                                                                               ",REP,0
366,H0TN062572014,"BLACK, DIANE L MRS.                                                                                                                                                                                     ",REP,1
367,H0TN062572012,"BLACK, DIANE L MRS.                                                                                                                                                                                     ",REP,1
368,H0TN082462014,"FINCHER, STEVE MR.                                                                                                                                                                                      ",REP,1
369,H0TN082462012,"FINCHER, STEVE                                                                                                                                                                                          ",REP,1
370,H0TN082872012,"FLINN, GEORGE S. JR.                                                                                                                                                                                    ",REP,0
371,H0TN082872012,"FLINN, GEORGE S. JR.                                                                                                                                                                                    ",REP,0
372,H0TN090612014,"BERGMANN, CHARLOTTE                                                                                                                                                                                     ",REP,0
373,H0TN090612012,"BERGMANN, CHARLOTTE                                                                                                                                                                                     ",REP,0
374,H0TX040372014,"HALL, RALPH MOODY                                                                                                                                                                                       ",REP,1
375,H0TX040372012,"HALL, RALPH MOODY                                                                                                                                                                                       ",REP,1
376,H0TX060652014,"COZAD, DAVID EDWIN                                                                                                                                                                                      ",DEM,0
377,H0TX060652012,"COZAD, DAVID EDWIN                                                                                                                                                                                      ",DEM,0
378,H0TX070552014,"CULBERSON, JOHN                                                                                                                                                                                         ",REP,1
379,H0TX070552012,"CULBERSON, JOHN                                                                                                                                                                                         ",REP,1
380,H0TX091432012,"MUELLER, STEVE                                                                                                                                                                                          ",REP,0
381,H0TX091432012,"MUELLER, STEVE                                                                                                                                                                                          ",REP,0
382,H0TX121472014,"GREENE, MARK                                                                                                                                                                                            ",DEM,0
383,H0TX122122014,"SOLODOW, MATTHEW                                                                                                                                                                                        ",LIB,0
384,H0TX122122012,"SOLODOW, MATTHEW                                                                                                                                                                                        ",LIB,0
385,H0TX171042014,"FLORES, BILL                                                                                                                                                                                            ",REP,1
386,H0TX171042012,"FLORES, BILL                                                                                                                                                                                            ",REP,1
387,H0TX210722012,"WYMAN, STEPHEN                                                                                                                                                                                          ",DEM,0
388,H0TX210722012,"WYMAN, STEPHEN                                                                                                                                                                                          ",DEM,0
389,H0TX221122012,"ROGERS, LAKESHA                                                                                                                                                                                         ",DEM,0
390,H0TX221122012,"ROGERS, LAKESHA                                                                                                                                                                                         ",DEM,0
391,H0TX221382012,"SUSMAN, STEVEN                                                                                                                                                                                          ",LIB,0
392,H0TX230862014,"HURD, WILLIAM                                                                                                                                                                                           ",REP,1
393,H0TX230862010,"HURD, WILLIAM                                                                                                                                                                                           ",REP,1
394,H0TX251072014,"BRUNER, CORY W                                                                                                                                                                                          ",LIB,0
395,H0TX261052014,"BOLER, MARK                                                                                                                                                                                             ",LIB,0
396,H0TX261052012,"BOLER, MARK                                                                                                                                                                                             ",LIB,0
397,H0TX270612014,"FARENTHOLD, RANDOLPH BLAKE                                                                                                                                                                              ",REP,1
398,H0TX270612012,"FARENTHOLD, RANDOLPH BLAKE                                                                                                                                                                              ",REP,1
399,H0UT020962014,"MATHESON, JAMES D                                                                                                                                                                                       ",DEM,1
400,H0UT020962012,"MATHESON, JAMES D                                                                                                                                                                                       ",DEM,1
401,H0VA011852014,"PARKER, G. GAIL                                                                                                                                                                                         ",IGR,0
402,H0VA011852012,"PARKER, G. GAIL                                                                                                                                                                                         ",OTH,0
403,H0VA020842014,"RIGELL, EDWARD SCOTT MR.                                                                                                                                                                                ",REP,1
404,H0VA020842012,"RIGELL, EDWARD SCOTT MR.                                                                                                                                                                                ",REP,1
405,H0VA050952014,"HURT, ROBERT                                                                                                                                                                                            ",REP,1
406,H0VA050952012,"HURT, ROBERT                                                                                                                                                                                            ",REP,1
407,H0VA070422014,"CANTOR, ERIC                                                                                                                                                                                            ",REP,1
408,H0VA070422012,"CANTOR, ERIC IVAN                                                                                                                                                                                       ",REP,1
409,H0VA080402014,"MORAN, JAMES P. JR.                                                                                                                                                                                     ",DEM,1
410,H0VA080402012,"MORAN, JAMES P JR                                                                                                                                                                                       ",DEM,1
411,H0VA081492012,"MURRAY, J PATRICK                                                                                                                                                                                       ",REP,0
412,H0VA090552014,"GRIFFITH, H MORGAN                                                                                                                                                                                      ",REP,1
413,H0VA090552012,"GRIFFITH, H MORGAN                                                                                                                                                                                      ",REP,1
414,H0VA091132014,"CARR, WILLIAM R.                                                                                                                                                                                        ",IND,0
415,H0VA101452014,"REDPATH, WILLIAM B                                                                                                                                                                                      ",LIB,0
416,H0VA101452010,"REDPATH, WILLIAM                                                                                                                                                                                        ",LIB,0
417,H0WA020802014,"LARSEN, RICK                                                                                                                                                                                            ",DEM,1
418,H0WA020802012,"LARSEN, RICK                                                                                                                                                                                            ",DEM,1
419,H0WA020982012,"KOSTER, JOHN                                                                                                                                                                                            ",REP,0
420,H0WA020982012,"KOSTER, JOHN                                                                                                                                                                                            ",REP,0
421,H0WA031612014,"HECK, DENNIS                                                                                                                                                                                            ",DEM,1
422,H0WA031612012,"HECK, DENNIS                                                                                                                                                                                            ",DEM,1
423,H0WA080462014,"DELBENE, SUZAN K                                                                                                                                                                                        ",DEM,1
424,H0WA080462012,"DELBENE, SUZAN K                                                                                                                                                                                        ",DEM,1
425,H0WA090442012,"MURI, RICHARD W                                                                                                                                                                                         ",REP,0
426,H0WA090442012,"MURI, RICHARD W                                                                                                                                                                                         ",REP,0
427,H0WI020602012,"LEE, CHAD                                                                                                                                                                                               ",REP,0
428,H0WI020602012,"LEE, CHAD                                                                                                                                                                                               ",REP,0
429,H0WI040902014,"SEBRING, DANIEL P                                                                                                                                                                                       ",REP,0
430,H0WI040902012,"SEBRING, DANIEL P                                                                                                                                                                                       ",REP,0
431,H0WI060612014,"PETRI, THOMAS                                                                                                                                                                                           ",REP,1
432,H0WI060612012,"PETRI, THOMAS                                                                                                                                                                                           ",REP,1
433,H0WI061522012,"KALLAS, JOSEPH C.                                                                                                                                                                                       ",DEM,0
434,H0WI061522012,"KALLAS, JOSEPH C.                                                                                                                                                                                       ",DEM,0
435,H0WI070512014,"DUFFY, SEAN                                                                                                                                                                                             ",REP,1
436,H0WI070512012,"DUFFY, SEAN                                                                                                                                                                                             ",REP,1
437,H0WI080752014,"RIBBLE, REID J. REP.                                                                                                                                                                                    ",REP,1
438,H0WI080752012,"RIBBLE, REID                                                                                                                                                                                            ",REP,1
439,H0WV010722014,"MCKINLEY, DAVID B. MR.                                                                                                                                                                                  ",REP,1
440,H0WV010722012,"MCKINLEY, DAVID B.                                                                                                                                                                                      ",REP,1
441,H0WV021382014,"CAPITO, SHELLEY MOORE MS.                                                                                                                                                                               ",REP,1
442,H0WV021382012,"CAPITO, SHELLEY MOORE MS.                                                                                                                                                                               ",REP,1
443,H2AK001192012,"CISSNA, SHARON MARIE                                                                                                                                                                                    ",DEM,0
444,H2AK001192012,"CISSNA, SHARON MARIE                                                                                                                                                                                    ",DEM,0
445,H2AK001432014,"MCDERMOTT, JIM C                                                                                                                                                                                        ",LIB,0
446,H2AK001432012,"MCDERMOTT, JIM C                                                                                                                                                                                        ",LIB,0
447,H2AL010772014,"BONNER, JOSIAH ROBINS JR.                                                                                                                                                                               ",REP,1
448,H2AL010772012,"BONNER, JOSIAH ROBIAS                                                                                                                                                                                   ",REP,1
449,H2AL021412012,"FORD, THERESE                                                                                                                                                                                           ",DEM,0
450,H2AL030322014,"ROGERS, MICHAEL                                                                                                                                                                                         ",REP,1
451,H2AL030322012,"ROGERS, MICHAEL DENNIS                                                                                                                                                                                  ",REP,1
452,H2AL030992012,"HARRIS, JOHN ANDREW                                                                                                                                                                                     ",DEM,0
453,H2AL030992012,"HARRIS, JOHN ANDREW                                                                                                                                                                                     ",DEM,0
454,H2AL040552012,"BOMAN, DANIEL HEATH                                                                                                                                                                                     ",DEM,0
455,H2AL040552012,"BOMAN, DANIEL HEATH                                                                                                                                                                                     ",DEM,0
456,H2AL050942012,"HOLLEY, CHARLIE LEE                                                                                                                                                                                     ",DEM,0
457,H2AL050942012,"HOLLEY, CHARLIE LEE                                                                                                                                                                                     ",DEM,0
458,H2AL060352014,"BACHUS, SPENCER REP.                                                                                                                                                                                    ",REP,1
459,H2AL060352012,"BACHUS, SPENCER T III                                                                                                                                                                                   ",REP,1
460,H2AL061422012,"BAILEY, PENNY HUGGINS                                                                                                                                                                                   ",DEM,0
461,H2AL061422012,"BAILEY, PENNY HUGGINS                                                                                                                                                                                   ",DEM,0
462,H2AR010712012,"ELLINGTON, SCOTT A                                                                                                                                                                                      ",DEM,0
463,H2AR010712012,"ELLINGTON, SCOTT A                                                                                                                                                                                      ",DEM,0
464,H2AR010892012,"PAXTON, JESSICA                                                                                                                                                                                         ",LIB,0
465,H2AR020532012,"RULE, HERB C. III                                                                                                                                                                                       ",DEM,0
466,H2AR020532012,"RULE, HERB C. III                                                                                                                                                                                       ",DEM,0
467,H2AR020792012,"WARD, BARBARA                                                                                                                                                                                           ",GRE,0
468,H2AR032592012,"KENNEDY, REBEKAH                                                                                                                                                                                        ",GRE,0
469,H2AR040832014,"COTTON, THOMAS                                                                                                                                                                                          ",REP,1
470,H2AR040832012,"COTTON, THOMAS                                                                                                                                                                                          ",REP,1
471,H2AR041092012,"JEFFRESS, GENE                                                                                                                                                                                          ",DEM,0
472,H2AR041092012,"JEFFRESS, GENE                                                                                                                                                                                          ",DEM,0
473,H2AR041412012,"TULLIS, BOBBY                                                                                                                                                                                           ",LIB,0
474,H2AZ013212012,"ALLEN, KIM LEE                                                                                                                                                                                          ",LIB,0
475,H2AZ020552014,"PASTOR, ED L                                                                                                                                                                                            ",DEM,1
476,H2AZ020552012,"PASTOR, ED L                                                                                                                                                                                            ",DEM,1
477,H2AZ031452012,"GUERRA, BLANCA A                                                                                                                                                                                        ",LIB,0
478,H2AZ031452012,"GUERRA, BLANCA A                                                                                                                                                                                        ",LIB,0
479,H2AZ041432014,"WEISSER, MIKEL                                                                                                                                                                                          ",DEM,0
480,H2AZ041432012,"WEISSER, MIKEL L                                                                                                                                                                                        ",DEM,0
481,H2AZ041502014,"ROBINSON, JOHNNIE ELBERT                                                                                                                                                                                ",DEM,0
482,H2AZ041502012,"ROBINSON, JOHNNIE ELBERT                                                                                                                                                                                ",DEM,0
483,H2AZ041762012,"PAMELIA, JOE                                                                                                                                                                                            ",LIB,0
484,H2AZ051322014,"WILLIAMSON, W JOHN                                                                                                                                                                                      ",DEM,0
485,H2AZ051322012,"WILLIAMSON, W JOHN                                                                                                                                                                                      ",DEM,0
486,H2AZ051402012,"MORGAN, SPENCER COLLINS                                                                                                                                                                                 ",DEM,0
487,H2AZ051402012,"MORGAN, SPENCER COLLINS                                                                                                                                                                                 ",DEM,0
488,H2AZ061712012,"JETTE, MATTHEW T                                                                                                                                                                                        ",DEM,0
489,H2AZ061892012,"ANDERSON, JACK                                                                                                                                                                                          ",LIB,0
490,H2AZ070702014,"GRIJALVA, RAUL M                                                                                                                                                                                        ",DEM,1
491,H2AZ070702012,"GRIJALVA, RAUL M                                                                                                                                                                                        ",DEM,1
492,H2AZ080942014,"BARBER, RONALD                                                                                                                                                                                          ",DEM,1
493,H2AZ080942012,"BARBER, RONALD                                                                                                                                                                                          ",DEM,1
494,H2AZ080942014,"BARBER, RONALD                                                                                                                                                                                          ",DEM,0
495,H2AZ080942012,"BARBER, RONALD                                                                                                                                                                                          ",DEM,0
496,H2AZ081022014,"MCSALLY, MARTHA E MS.                                                                                                                                                                                   ",REP,0
497,H2AZ081022012,"MCSALLY, MARTHA E                                                                                                                                                                                       ",REP,0
498,H2AZ081022014,"MCSALLY, MARTHA E MS.                                                                                                                                                                                   ",REP,1
499,H2AZ081022012,"MCSALLY, MARTHA E                                                                                                                                                                                       ",REP,1
500,H2AZ081512014,"DOLGOS, STEPHEN                                                                                                                                                                                         ",OTH,0
501,H2AZ081512012,"DOLGOS, STEPHEN                                                                                                                                                                                         ",OTH,0
502,H2AZ090192014,"SINEMA, KYRSTEN                                                                                                                                                                                         ",DEM,1
503,H2AZ090192012,"SINEMA, KYRSTEN                                                                                                                                                                                         ",DEM,1
504,H2AZ090352014,"ROGERS, WENDY                                                                                                                                                                                           ",REP,0
505,H2AZ090352012,"ROGERS, WENDY                                                                                                                                                                                           ",REP,0
506,H2CA001042014,"LOWENTHAL, ALAN                                                                                                                                                                                         ",DEM,1
507,H2CA001042012,"LOWENTHAL, ALAN                                                                                                                                                                                         ",DEM,1
508,H2CA001202012,"BROWNLEY, JULIA                                                                                                                                                                                         ",DEM,1
509,H2CA001202014,"BROWNLEY, JULIA                                                                                                                                                                                         ",DEM,1
510,H2CA021422012,"LAMALFA, DOUG                                                                                                                                                                                           ",REP,1
511,H2CA021422014,"LAMALFA, DOUG                                                                                                                                                                                           ",REP,1
512,H2CA041142012,"UPPAL, JACK                                                                                                                                                                                             ",DEM,0
513,H2CA041142012,"UPPAL, JACK                                                                                                                                                                                             ",DEM,0
514,H2CA050952012,"LOFTIN, JOSEPH R                                                                                                                                                                                        ",REP,0
515,H2CA062592012,"HUFFMAN, JARED                                                                                                                                                                                          ",DEM,1
516,H2CA062592014,"HUFFMAN, JARED MR                                                                                                                                                                                       ",DEM,1
517,H2CA062912012,"MCCRAY, JOSEPH SR                                                                                                                                                                                       ",REP,0
518,H2CA062912014,"MCCRAY, JOSEPH SR                                                                                                                                                                                       ",REP,0
519,H2CA081642014,"COOK, PAUL                                                                                                                                                                                              ",REP,1
520,H2CA081642012,"COOK, PAUL                                                                                                                                                                                              ",REP,1
521,H2CA101452012,"HERNANDEZ, JOSE M                                                                                                                                                                                       ",DEM,0
522,H2CA101452012,"HERNANDEZ, JOSE M                                                                                                                                                                                       ",DEM,0
523,H2CA111352012,"GILL, RICKY                                                                                                                                                                                             ",REP,0
524,H2CA111352012,"GILL, RICKY                                                                                                                                                                                             ",REP,0
525,H2CA130992012,"SINGLETON, MARILYN M                                                                                                                                                                                    ",UNK,0
526,H2CA130992012,"SINGLETON, MARILYN M                                                                                                                                                                                    ",UNK,0
527,H2CA141392012,"BACIGALUPI, DEBBIE                                                                                                                                                                                      ",REP,0
528,H2CA141392012,"BACIGALUPI, DEBBIE                                                                                                                                                                                      ",REP,0
529,H2CA150942012,"SWALWELL, ERIC MICHAEL                                                                                                                                                                                  ",DEM,1
530,H2CA150942014,"SWALWELL, ERIC MICHAEL                                                                                                                                                                                  ",DEM,1
531,H2CA160922012,"WHELAN, BRIAN                                                                                                                                                                                           ",REP,0
532,H2CA160922012,"WHELAN, BRIAN                                                                                                                                                                                           ",REP,0
533,H2CA161002012,"TACHERRA, JOHNNY                                                                                                                                                                                        ",REP,0
534,H2CA161002014,"TACHERRA, JOHNNY                                                                                                                                                                                        ",REP,0
535,H2CA170902012,"LI, EVELYN                                                                                                                                                                                              ",REP,0
536,H2CA170902012,"LI, EVELYN                                                                                                                                                                                              ",REP,0
537,H2CA191122012,"MURRAY, ROBERT                                                                                                                                                                                          ",REP,0
538,H2CA191122014,"MURRAY, ROBERT                                                                                                                                                                                          ",DEM,0
539,H2CA191122012,"MURRAY, ROBERT                                                                                                                                                                                          ",REP,1
540,H2CA191122014,"MURRAY, ROBERT                                                                                                                                                                                          ",DEM,1
541,H2CA200942012,"VALADAO, DAVID                                                                                                                                                                                          ",REP,1
542,H2CA200942014,"VALADAO, DAVID                                                                                                                                                                                          ",REP,1
543,H2CA221402012,"LEE, OTTO                                                                                                                                                                                               ",DEM,0
544,H2CA221402012,"LEE, OTTO                                                                                                                                                                                               ",DEM,0
545,H2CA231062012,"MALDONADO, ABEL                                                                                                                                                                                         ",REP,0
546,H2CA231062012,"MALDONADO, ABEL                                                                                                                                                                                         ",REP,0
547,H2CA231142012,"MITCHUM, CHRISTOPHER                                                                                                                                                                                    ",REP,0
548,H2CA231142014,"MITCHUM, CHRISTOPHER                                                                                                                                                                                    ",REP,0
549,H2CA231222012,"PHILLIPS, TERRY                                                                                                                                                                                         ",IND,0
550,H2CA231222012,"PHILLIPS, TERRY                                                                                                                                                                                         ",IND,0
551,H2CA250362012,"MCKEON, HOWARD P. 'BUCK'                                                                                                                                                                                ",REP,1
552,H2CA250362014,"MCKEON, HOWARD P ""BUCK""                                                                                                                                                                                 ",REP,1
553,H2CA251432012,"ROGERS, LEE C                                                                                                                                                                                           ",DEM,0
554,H2CA251432014,"ROGERS, LEE C.                                                                                                                                                                                          ",DEM,0
555,H2CA260262012,"BERMAN, HOWARD L                                                                                                                                                                                        ",DEM,1
556,H2CA260262012,"BERMAN, HOWARD L                                                                                                                                                                                        ",DEM,1
557,H2CA261092012,"STRICKLAND, ANTHONY A.                                                                                                                                                                                  ",REP,1
558,H2CA261092014,"STRICKLAND, ANTHONY A                                                                                                                                                                                   ",REP,1
559,H2CA261092012,"STRICKLAND, ANTHONY A.                                                                                                                                                                                  ",REP,0
560,H2CA261092014,"STRICKLAND, ANTHONY A                                                                                                                                                                                   ",REP,0
561,H2CA271982012,"ORSWELL, JACK                                                                                                                                                                                           ",REP,0
562,H2CA271982014,"ORSWELL, JACK                                                                                                                                                                                           ",REP,0
