,cand_id,cand_name,cand_pty_affliation,cand_election_yr,result
543,H2CA22140,"LEE, OTTO                                                                                                                                                                                               ",DEM,2012  ,0
544,H2CA22140,"LEE, OTTO                                                                                                                                                                                               ",DEM,2012  ,0
545,H2CA23106,"MALDONADO, ABEL                                                                                                                                                                                         ",REP,2012  ,0
546,H2CA23106,"MALDONADO, ABEL                                                                                                                                                                                         ",REP,2012  ,0
547,H2CA23114,"MITCHUM, CHRISTOPHER                                                                                                                                                                                    ",REP,2012  ,0
548,H2CA23114,"MITCHUM, CHRISTOPHER                                                                                                                                                                                    ",REP,2014  ,0
549,H2CA23122,"PHILLIPS, TERRY                                                                                                                                                                                         ",IND,2012  ,0
550,H2CA23122,"PHILLIPS, TERRY                                                                                                                                                                                         ",IND,2012  ,0
551,H2CA25036,"MCKEON, HOWARD P. 'BUCK'                                                                                                                                                                                ",REP,2012  ,1
552,H2CA25036,"MCKEON, HOWARD P ""BUCK""                                                                                                                                                                                 ",REP,2014  ,1
553,H2CA25143,"ROGERS, LEE C                                                                                                                                                                                           ",DEM,2012  ,0
554,H2CA25143,"ROGERS, LEE C.                                                                                                                                                                                          ",DEM,2014  ,0
555,H2CA26026,"BERMAN, HOWARD L                                                                                                                                                                                        ",DEM,2012  ,1
556,H2CA26026,"BERMAN, HOWARD L                                                                                                                                                                                        ",DEM,2012  ,1
557,H2CA26109,"STRICKLAND, ANTHONY A.                                                                                                                                                                                  ",REP,2012  ,1
558,H2CA26109,"STRICKLAND, ANTHONY A                                                                                                                                                                                   ",REP,2014  ,1
559,H2CA26109,"STRICKLAND, ANTHONY A.                                                                                                                                                                                  ",REP,2012  ,0
560,H2CA26109,"STRICKLAND, ANTHONY A                                                                                                                                                                                   ",REP,2014  ,0
561,H2CA27198,"ORSWELL, JACK                                                                                                                                                                                           ",REP,2012  ,0
562,H2CA27198,"ORSWELL, JACK                                                                                                                                                                                           ",REP,2014  ,0
563,H2CA28097,"HERNANDEZ, DAVID RAYMOND                                                                                                                                                                                ",REP,2012  ,0
564,H2CA28097,"HERNANDEZ, DAVID RAYMOND                                                                                                                                                                                ",REP,2012  ,0
565,H2CA28113,"CARDENAS, TONY                                                                                                                                                                                          ",DEM,2012  ,1
566,H2CA28113,"CARDENAS, TONY                                                                                                                                                                                          ",DEM,2014  ,1
567,H2CA30143,"BECERRA, XAVIER                                                                                                                                                                                         ",DEM,2012  ,1
568,H2CA30143,"BECERRA, XAVIER                                                                                                                                                                                         ",DEM,2014  ,1
569,H2CA31125,"AGUILAR, PETE                                                                                                                                                                                           ",DEM,2012  ,1
570,H2CA31125,"AGUILAR, PETE                                                                                                                                                                                           ",DEM,2014  ,1
571,H2CA31133,"DUTTON, ROBERT BOB                                                                                                                                                                                      ",REP,2012  ,1
572,H2CA31133,"DUTTON, ROBERT BOB                                                                                                                                                                                      ",REP,2012  ,1
573,H2CA33048,"ROYBAL-ALLARD, LUCILLE                                                                                                                                                                                  ",DEM,2012  ,1
574,H2CA33048,"ROYBAL-ALLARD, LUCILLE                                                                                                                                                                                  ",DEM,2014  ,1
575,H2CA33147,"BLOOMFIELD, BILL                                                                                                                                                                                        ",IND,2012  ,0
576,H2CA33147,"BLOOMFIELD, BILL                                                                                                                                                                                        ",IND,2014  ,0
577,H2CA34061,"SMITH, STEPHEN C.                                                                                                                                                                                       ",REP,2012  ,0
578,H2CA35118,"MCLEOD, GLORIA NEGRETE                                                                                                                                                                                  ",DEM,2012  ,1
579,H2CA35118,"MCLEOD, GLORIA NEGRETE                                                                                                                                                                                  ",DEM,2014  ,1
580,H2CA36439,"RUIZ, RAUL DR.                                                                                                                                                                                          ",DEM,2012  ,1
581,H2CA36439,"RUIZ, RAUL DR.                                                                                                                                                                                          ",DEM,2014  ,1
582,H2CA37023,"CALVERT, KENNETH S                                                                                                                                                                                      ",REP,2012  ,1
583,H2CA37023,"CALVERT, KEN                                                                                                                                                                                            ",REP,2014  ,1
584,H2CA37270,"OSBORNE, MORGAN                                                                                                                                                                                         ",REP,2012  ,0
585,H2CA38237,"CAMPOS, BENJAMIN                                                                                                                                                                                        ",REP,2012  ,0
586,H2CA38237,"CAMPOS, BENJAMIN                                                                                                                                                                                        ",REP,2014  ,0
587,H2CA39078,"SANCHEZ, LINDA                                                                                                                                                                                          ",DEM,2012  ,1
588,H2CA39078,"SANCHEZ, LINDA                                                                                                                                                                                          ",DEM,2014  ,1
589,H2CA39136,"CHEN, JAY                                                                                                                                                                                               ",DEM,2012  ,0
590,H2CA39136,"CHEN, JAY                                                                                                                                                                                               ",DEM,2012  ,0
591,H2CA41116,"IMUS, GREGG                                                                                                                                                                                             ",REP,2012  ,1
592,H2CA41116,"IMUS, GREGG                                                                                                                                                                                             ",REP,2012  ,1
593,H2CA43245,"TAKANO, MARK                                                                                                                                                                                            ",DEM,2012  ,1
594,H2CA43245,"TAKANO, MARK                                                                                                                                                                                            ",DEM,2014  ,1
595,H2CA43377,"TAVAGLIONE, JOHN F                                                                                                                                                                                      ",REP,2012  ,0
596,H2CA43377,"TAVAGLIONE, JOHN F                                                                                                                                                                                      ",REP,2012  ,0
597,H2CA43385,"FLORES, BOB                                                                                                                                                                                             ",DEM,2012  ,1
598,H2CA43385,"FLORES, BOB                                                                                                                                                                                             ",DEM,2012  ,1
599,H2CA46107,"HAYDEN, GERARD P                                                                                                                                                                                        ",REP,2012  ,0
600,H2CA46107,"HAYDEN, GERARD P                                                                                                                                                                                        ",REP,2012  ,0
601,H2CA47105,"DELONG, GARY                                                                                                                                                                                            ",REP,2012  ,0
602,H2CA47105,"DELONG, GARY                                                                                                                                                                                            ",REP,2012  ,0
603,H2CA48087,"KANG, SUKHEE                                                                                                                                                                                            ",DEM,2012  ,0
604,H2CA48087,"KANG, SUKHEE                                                                                                                                                                                            ",DEM,2012  ,0
605,H2CA48095,"VARASTEH, RON                                                                                                                                                                                           ",DEM,2012  ,0
606,H2CA48095,"VARASTEH, RON                                                                                                                                                                                           ",DEM,2012  ,0
607,H2CA49218,"TETALMAN, JERRY                                                                                                                                                                                         ",DEM,2012  ,0
608,H2CA49218,"TETALMAN, JERRY                                                                                                                                                                                         ",DEM,2012  ,0
609,H2CA50026,"VARGAS, JUAN C.                                                                                                                                                                                         ",DEM,2012  ,1
610,H2CA50026,"VARGAS, JUAN C.                                                                                                                                                                                         ",DEM,2014  ,1
611,H2CA50158,"SECOR, DAVID B                                                                                                                                                                                          ",DEM,2012  ,0
612,H2CA50158,"SECOR, DAVID B                                                                                                                                                                                          ",DEM,2012  ,0
613,H2CA50166,"KIMBER, JAMES HARVEY                                                                                                                                                                                    ",DEM,2014  ,0
614,H2CA50166,"KIMBER, JAMES HARVEY                                                                                                                                                                                    ",DEM,2014  ,0
615,H2CA52089,"PETERS, SCOTT                                                                                                                                                                                           ",DEM,2012  ,1
616,H2CA52089,"PETERS, SCOTT                                                                                                                                                                                           ",DEM,2014  ,1
617,H2CO01124,"STROUD, DANNY E                                                                                                                                                                                         ",REP,2012  ,0
618,H2CO01124,"STROUD, DANNY E                                                                                                                                                                                         ",IND,2014  ,0
619,H2CO01140,"ATWOOD, FRANK                                                                                                                                                                                           ",LIB,2012  ,0
620,H2CO01140,"ATWOOD, FRANK                                                                                                                                                                                           ",LIB,2014  ,0
621,H2CO02122,"OLSEN, NORM                                                                                                                                                                                             ",LIB,2014  ,0
622,H2CO02148,"LUNDBERG, KEVIN                                                                                                                                                                                         ",REP,2012  ,0
623,H2CO02148,"LUNDBERG, KEVIN                                                                                                                                                                                         ",REP,2012  ,0
624,H2CO02155,"LUALLIN, RANDY                                                                                                                                                                                          ",LIB,2012  ,0
625,H2CO03138,"PACE, SALVATORE II                                                                                                                                                                                      ",DEM,2012  ,0
626,H2CO03138,"PACE, SALVATORE II                                                                                                                                                                                      ",DEM,2012  ,0
627,H2CO03146,"CASIDA, TISHA TRINETTE                                                                                                                                                                                  ",UNK,2012  ,0
628,H2CO03146,"CASIDA, TISHA TRINETTE                                                                                                                                                                                  ",UNK,2014  ,0
629,H2CO04094,"SHAFFER, BRANDON                                                                                                                                                                                        ",DEM,2012  ,0
630,H2CO04094,"SHAFFER, BRANDON                                                                                                                                                                                        ",DEM,2012  ,0
631,H2CO04102,"GILLILAND, JOSHUA L                                                                                                                                                                                     ",LIB,2012  ,0
632,H2CO04102,"GILLILAND, JOSHUA L                                                                                                                                                                                     ",LIB,2012  ,0
633,H2CO05059,"ANDERSON, DAVID C                                                                                                                                                                                       ",NNE,2012  ,0
634,H2CO05059,"ANDERSON, DAVID C                                                                                                                                                                                       ",NNE,2012  ,0
635,H2CO06123,"MIKLOSI, JOE                                                                                                                                                                                            ",DEM,2012  ,0
636,H2CO06123,"MIKLOSI, JOE                                                                                                                                                                                            ",DEM,2012  ,0
637,H2CO06149,"POLHEMUS, KATHY L                                                                                                                                                                                       ",IND,2012  ,0
638,H2CO06149,"POLHEMUS, KATHY L                                                                                                                                                                                       ",IND,2012  ,0
639,H2CO07121,"COORS, JOSEPH JR                                                                                                                                                                                        ",REP,2012  ,0
640,H2CO07121,"COORS, JOSEPH JR                                                                                                                                                                                        ",REP,2012  ,0
641,H2CO07147,"CAMPBELL, DOUGLAS 'DAYHORSE'                                                                                                                                                                            ",OTH,2012  ,0
642,H2CO07147,"CAMPBELL, DOUGLAS 'DAYHORSE'                                                                                                                                                                            ",OTH,2014  ,0
643,H2CT01163,"DECKER, JOHN HENRY                                                                                                                                                                                      ",REP,2012  ,0
644,H2CT01163,"DECKER, JOHN HENRY                                                                                                                                                                                      ",REP,2012  ,0
645,H2CT01171,"DEROSA, S. MICHAEL                                                                                                                                                                                      ",GRE,2012  ,0
646,H2CT01189,"COREY, MATTHEW M                                                                                                                                                                                        ",REP,2014  ,0
647,H2CT01189,"COREY, MATTHEW M MR                                                                                                                                                                                     ",OTH,2012  ,0
648,H2CT02112,"COURTNEY, JOSEPH D                                                                                                                                                                                      ",DEM,2014  ,1
649,H2CT02112,"COURTNEY, JOSEPH D                                                                                                                                                                                      ",DEM,2012  ,1
650,H2CT02146,"FORMICA, PAUL M.                                                                                                                                                                                        ",REP,2012  ,0
651,H2CT02146,"FORMICA, PAUL M.                                                                                                                                                                                        ",REP,2012  ,0
652,H2CT02153,"BENNETT, COLIN D.                                                                                                                                                                                       ",GRE,2012  ,0
653,H2CT04068,"OBSITNIK, STEPHEN                                                                                                                                                                                       ",REP,2012  ,0
654,H2CT04068,"OBSITNIK, STEPHEN                                                                                                                                                                                       ",REP,2012  ,0
655,H2CT05131,"ESTY, ELIZABETH                                                                                                                                                                                         ",DEM,2014  ,1
656,H2CT05131,"ESTY, ELIZABETH                                                                                                                                                                                         ",DEM,2012  ,1
657,H2CT05180,"WINSLEY, WAYNE ANTHONY                                                                                                                                                                                  ",REP,2012  ,0
658,H2CT05180,"WINSLEY, WAYNE ANTHONY                                                                                                                                                                                  ",REP,2012  ,0
659,H2CT05206,"RORABACK, ANDREW                                                                                                                                                                                        ",REP,2012  ,0
660,H2CT05206,"RORABACK, ANDREW                                                                                                                                                                                        ",REP,2012  ,0
661,H2DE00130,"KOVACH, THOMAS H                                                                                                                                                                                        ",REP,2012  ,0
662,H2DE00130,"KOVACH, THOMAS H                                                                                                                                                                                        ",REP,2012  ,0
663,H2DE00155,"AUGUST, BERNARD                                                                                                                                                                                         ",GRE,2014  ,0
664,H2DE00155,"AUGUST, BERNARD                                                                                                                                                                                         ",GRE,2012  ,0
665,H2FL00292,"DESANTIS, RONALD D                                                                                                                                                                                      ",REP,2014  ,1
666,H2FL00292,"DESANTIS, RONALD D                                                                                                                                                                                      ",REP,2012  ,1
667,H2FL00300,"BRONSON, WILLIAM EMERY                                                                                                                                                                                  ",DEM,2014  ,0
668,H2FL00300,"BRONSON, WILLIAM E                                                                                                                                                                                      ",DEM,2012  ,0
669,H2FL01100,"MILLER, JEFFERSON B.                                                                                                                                                                                    ",REP,2014  ,1
670,H2FL01100,"MILLER, JEFFERSON B.                                                                                                                                                                                    ",REP,2012  ,1
671,H2FL01191,"FRETTS, CALEN                                                                                                                                                                                           ",LIB,2012  ,0
672,H2FL01191,"FRETTS, CALEN                                                                                                                                                                                           ",LIB,2012  ,0
673,H2FL02132,"MILLER, FLOYD PATRICK                                                                                                                                                                                   ",UNK,2012  ,0
674,H2FL03056,"BROWN, CORRINE                                                                                                                                                                                          ",DEM,2014  ,1
675,H2FL03056,"BROWN, CORRINE                                                                                                                                                                                          ",DEM,2012  ,1
676,H2FL03130,"DODDS, PHILIP                                                                                                                                                                                           ",NPA,2012  ,0
677,H2FL03130,"DODDS, PHILIP                                                                                                                                                                                           ",NPA,2012  ,0
678,H2FL04112,"KLAUDER, JAMES R                                                                                                                                                                                        ",REP,2012  ,0
679,H2FL04112,"KLAUDER, JAMES R                                                                                                                                                                                        ",REP,2012  ,0
680,H2FL05150,"WERDER, H DAVID                                                                                                                                                                                         ",DEM,2012  ,0
681,H2FL05184,"FLEMING, EILEEN                                                                                                                                                                                         ",NNE,2012  ,0
682,H2FL06109,"YOHO, THEODORE SCOTT                                                                                                                                                                                    ",REP,2014  ,1
683,H2FL06109,"YOHO, THEODORE SCOTT MR.                                                                                                                                                                                ",REP,2012  ,1
684,H2FL07123,"KENDALL, JASON H                                                                                                                                                                                        ",DEM,2012  ,0
685,H2FL07123,"KENDALL, JASON H                                                                                                                                                                                        ",DEM,2012  ,0
686,H2FL07131,"MARRA, FRED                                                                                                                                                                                             ",UNK,2012  ,0
687,H2FL08055,"MICA, JOHN L. MR.                                                                                                                                                                                       ",REP,2014  ,1
688,H2FL08055,"MICA, JOHN L. MR.                                                                                                                                                                                       ",REP,2012  ,1
689,H2FL08063,"DEMINGS, VALDEZ VAL                                                                                                                                                                                     ",DEM,2012  ,0
690,H2FL08063,"DEMINGS, VALDEZ VAL                                                                                                                                                                                     ",DEM,2012  ,0
691,H2FL08071,"GILLMOR, RICHARD H                                                                                                                                                                                      ",UNK,2012  ,0
692,H2FL08071,"GILLMOR, RICHARD H                                                                                                                                                                                      ",UNK,2012  ,0
693,H2FL09103,"SNOW, JONATHAN MICHAEL                                                                                                                                                                                  ",DEM,2012  ,0
694,H2FL09103,"SNOW, JONATHAN MICHAEL                                                                                                                                                                                  ",DEM,2012  ,0
695,H2FL10150,"EHRLICH, JESSICA D                                                                                                                                                                                      ",DEM,2014  ,0
696,H2FL10150,"EHRLICH, JESSICA D                                                                                                                                                                                      ",DEM,2012  ,0
697,H2FL10168,"SEEGOLAM, NAIPAUL                                                                                                                                                                                       ",UNK,2012  ,0
698,H2FL11091,"OTERO, EVELIO                                                                                                                                                                                           ",REP,2012  ,0
699,H2FL11091,"OTERO, EVELIO                                                                                                                                                                                           ",REP,2012  ,0
700,H2FL13188,"FITZGERALD, KEITH                                                                                                                                                                                       ",DEM,2012  ,0
701,H2FL13188,"FITZGERALD, KEITH                                                                                                                                                                                       ",DEM,2012  ,0
702,H2FL14053,"FRANKEL, LOIS J.                                                                                                                                                                                        ",DEM,2014  ,1
703,H2FL14053,"FRANKEL, LOIS J.                                                                                                                                                                                        ",DEM,2012  ,1
704,H2FL14194,"RADEL, HENRY J. III                                                                                                                                                                                     ",REP,2014  ,1
705,H2FL14194,"RADEL, HENRY J. III                                                                                                                                                                                     ",REP,2012  ,1
706,H2FL17080,"BAUMANN, TOM                                                                                                                                                                                            ",UNK,2012  ,0
707,H2FL18070,"HOLLOMAN,MARILYN DAVIS                                                                                                                                                                                  ",DEM,2012  ,0
708,H2FL18070,"HOLLOMAN,MARILYN DAVIS                                                                                                                                                                                  ",DEM,2012  ,0
709,H2FL20043,"KAUFMAN, JOE                                                                                                                                                                                            ",REP,2014  ,0
710,H2FL20043,"KAUFMAN, JOE                                                                                                                                                                                            ",REP,2012  ,0
711,H2FL20100,"TERRY, RANDALL A                                                                                                                                                                                        ",IND,2012  ,0
712,H2FL20100,"TERRY, RANDALL A                                                                                                                                                                                        ",IND,2012  ,0
713,H2FL21066,"TROUT, W. MICHAEL ""MIKE""                                                                                                                                                                                ",W  ,2014  ,0
714,H2FL21066,"TROUT, W. MICHAEL MIKE                                                                                                                                                                                  ",NNE,2012  ,0
715,H2FL22072,"MURPHY, PATRICK                                                                                                                                                                                         ",DEM,2014  ,1
716,H2FL22072,"MURPHY, PATRICK                                                                                                                                                                                         ",DEM,2012  ,1
717,H2FL22098,"HASNER, ADAM                                                                                                                                                                                            ",REP,2012  ,0
718,H2FL22098,"HASNER, ADAM                                                                                                                                                                                            ",REP,2012  ,0
719,H2FL23021,"HASTINGS, ALCEE L                                                                                                                                                                                       ",DEM,2014  ,1
720,H2FL23021,"HASTINGS, ALCEE L L                                                                                                                                                                                     ",DEM,2012  ,1
721,H2FL23096,"KATZ, IIYA                                                                                                                                                                                              ",NNE,2012  ,0
722,H2FL25018,"DIAZ-BALART, MARIO                                                                                                                                                                                      ",REP,2014  ,1
723,H2FL25018,"DIAZ-BALART, MARIO                                                                                                                                                                                      ",REP,2012  ,1
724,H2FL26065,"FERNANDEZ, ANGEL                                                                                                                                                                                        ",IND,2012  ,0
725,H2FL26065,"FERNANDEZ, ANGEL                                                                                                                                                                                        ",IND,2012  ,0
726,H2FL27014,"YEVANCEY, MANNY                                                                                                                                                                                         ",DEM,2012  ,0
727,H2FL27014,"YEVANCEY, MANNY                                                                                                                                                                                         ",DEM,2012  ,0
728,H2FL28012,"GAILLOT, JACQUES RENE JR                                                                                                                                                                                ",DEM,2012  ,0
729,H2FL28012,"GAILLOT, JACQUES RENE JR                                                                                                                                                                                ",DEM,2012  ,0
730,H2GA01157,"KINGSTON, JACK REP.                                                                                                                                                                                     ",REP,2014  ,1
731,H2GA01157,"KINGSTON, JACK REP.                                                                                                                                                                                     ",REP,2012  ,1
732,H2GA01231,"MESSINGER, LESLI RAE                                                                                                                                                                                    ",DEM,2012  ,0
733,H2GA01231,"MESSINGER, LESLI RAE                                                                                                                                                                                    ",DEM,2012  ,0
734,H2GA02031,"BISHOP, SANFORD D JR                                                                                                                                                                                    ",DEM,2014  ,1
735,H2GA02031,"BISHOP, SANFORD D JR                                                                                                                                                                                    ",DEM,2012  ,1
736,H2GA02114,"HOUSE, JOHN M                                                                                                                                                                                           ",REP,2012  ,0
737,H2GA02114,"HOUSE, JOHN M                                                                                                                                                                                           ",REP,2012  ,0
738,H2GA04144,"VAUGHN, JEFFERY CHRIS                                                                                                                                                                                   ",REP,2012  ,0
